recency,frequency,monetary,customersegment
75,4,1797.24,2
19,1,1757.55,1
310,1,334.4,0
36,11,3466.67,2
204,1,89.0,0
232,1,1079.4,0
214,1,459.4,0
23,3,2811.43,2
2,2,1168.06,1
52,3,2662.06,2
287,1,189.9,0
110,2,552.0,1
8,4,1313.1,1
291,3,962.0699999999999,0
4,1,168.9,1
51,4,3541.94,2
45,2,1887.96,1
72,3,1298.04,1
311,1,364.6,0
25,1,742.9300000000001,1
3,3,459.58000000000004,1
315,2,1628.12,0
82,3,854.19,1
22,5,2729.06,2
5,6,1886.66,2
185,6,1861.81,2
29,3,604.38,1
16,6,2780.66,2
80,1,549.84,1
22,1,439.66,1
72,4,1582.6000000000001,2
64,2,1272.48,1
36,2,2409.9,2
46,1,1635.6599999999999,1
119,4,1108.65,1
303,1,84.3,0
323,1,225.6,0
50,2,445.7,1
149,1,1710.39,0
22,3,3549.85,2
50,5,1708.1200000000001,2
33,9,2934.5299999999997,2
301,3,705.5799999999999,0
75,3,1226.88,1
67,5,822.0500000000001,1
217,3,562.41,0
113,1,668.58,1
64,1,600.39,1
16,5,807.8100000000001,1
96,3,803.5600000000001,1
1,9,1869.51,2
163,2,1760.96,0
78,1,777.2,1
195,1,582.73,0
12,5,943.23,1
9,4,3750.4,2
43,1,256.4,1
85,4,847.09,1
100,1,509.01,1
14,2,2906.85,2
3,1,172.06,1
22,1,133.4,1
58,1,1002.3100000000001,1
243,1,476.49,0
44,1,449.45,1
156,2,197.88,0
17,3,432.57,1
134,1,707.09,1
73,6,2466.86,2
44,4,3208.19,2
71,2,947.4,1
94,2,826.88,1
2,4,1255.17,1
46,7,1385.93,2
10,8,1212.05,2
8,3,750.49,1
143,3,735.0400000000001,1
54,1,723.38,1
4,1,680.99,1
4,3,577.1,1
28,4,3281.63,2
10,3,1298.66,1
39,1,460.40000000000003,1
63,2,263.21000000000004,1
166,3,450.69,0
82,1,1043.1,1
21,3,403.70000000000005,1
315,2,2249.1,0
96,5,3723.87,2
18,4,850.0999999999999,1
301,1,4.5,0
233,1,73.5,0
134,4,1351.56,1
26,2,397.88,1
284,1,176.5,0
143,2,982.5699999999999,0
66,2,132.18,1
85,2,637.79,1
267,1,1017.68,0
78,2,1312.06,1
28,6,2519.55,2
1,5,2056.89,2
64,1,330.84,1
79,6,2686.01,2
143,1,599.68,0
39,2,192.72,1
1,3,1316.66,1
82,3,348.71000000000004,1
9,8,1944.68,2
60,5,1700.93,2
15,1,125.22,1
30,1,349.83000000000004,1
131,1,1089.18,1
92,2,716.35,1
29,1,363.95,1
30,3,981.18,1
30,2,389.7,1
75,2,1000.39,1
47,3,1181.5,1
198,2,207.79999999999998,0
166,1,95.19999999999999,0
79,1,964.83,1
39,2,437.82,1
50,2,599.56,1
2,2,539.92,1
311,3,587.21,0
5,4,2166.63,2
303,1,238.85,0
261,1,456.9,0
282,2,160.67,0
73,2,356.6,1
40,2,519.61,1
9,3,1036.1200000000001,1
227,1,160.54000000000002,0
316,1,218.45,0
36,6,1324.68,2
35,4,689.0,1
21,4,2835.66,2
73,3,470.12,1
247,1,415.7,0
40,1,197.71,1
239,2,511.36,0
234,4,2097.39,0
17,2,213.94000000000003,1
8,1,144.0,1
39,1,214.89999999999998,1
29,2,646.68,1
317,1,452.84999999999997,0
92,2,437.6,1
109,3,418.09999999999997,1
38,11,3356.2200000000003,2
51,2,618.27,1
10,9,3043.48,2
29,7,1032.58,2
29,11,2617.04,2
190,6,584.5600000000001,0
59,1,153.12,1
22,1,739.1999999999999,1
79,2,254.18,1
58,2,3159.02,2
78,3,1126.85,1
23,7,2141.09,2
52,1,1193.32,1
58,2,764.49,1
31,6,3469.78,2
278,1,315.6,0
2,4,2291.19,2
85,5,769.35,1
29,1,352.98,1
22,1,177.31,1
15,3,1339.41,1
232,1,180.1,0
276,1,305.1,0
106,2,641.13,1
212,3,2753.32,2
4,4,803.3100000000001,1
10,2,1270.88,1
57,1,640.5,1
59,5,2187.33,2
90,2,1689.18,1
33,1,671.69,1
239,1,486.1,0
24,3,1174.58,1
115,1,185.9,1
25,3,1013.26,1
128,6,3344.64,2
130,1,477.91,1
34,5,1794.98,2
5,2,1346.97,1
155,1,318.05,0
107,4,643.31,1
3,1,314.44,1
322,2,925.4300000000001,0
149,2,2209.85,2
11,5,601.98,1
11,5,2134.3,2
19,1,686.05,1
30,1,91.68,1
11,1,245.1,1
325,2,64.25,0
58,1,620.13,1
10,6,3005.95,2
330,1,225.89999999999998,0
5,2,610.52,1
12,7,2018.94,2
25,6,1331.39,2
52,9,1167.3700000000001,2
1,4,862.81,1
8,7,2283.63,2
28,6,2863.08,2
26,2,1247.61,1
206,1,389.01,0
28,6,1035.8,2
121,6,880.86,2
70,2,869.67,1
7,4,582.1,1
21,5,976.16,1
80,2,797.71,1
20,1,219.0,1
64,2,292.4,1
7,10,2460.84,2
292,1,603.42,0
97,4,1167.47,1
1,1,848.55,1
106,1,343.36,1
4,2,1053.49,1
151,3,1080.98,0
71,1,238.25,1
5,3,681.8000000000001,1
32,7,2683.28,2
85,6,1090.93,2
4,5,725.07,1
5,4,1031.41,1
28,7,2609.1,2
71,4,836.33,1
114,1,453.01,1
180,1,236.26000000000002,0
234,1,383.95,0
315,2,779.5699999999999,0
78,2,1013.04,1
64,1,427.6,1
134,2,540.13,1
129,1,275.88,1
236,5,3072.3599999999997,2
87,1,112.07999999999998,1
117,2,2791.59,2
52,3,1531.44,1
8,2,1898.52,1
138,2,494.08,1
317,1,1693.88,0
239,1,1143.6,0
211,1,1351.45,0
60,1,892.47,1
17,6,1420.84,2
20,7,840.23,2
21,5,945.76,1
5,6,2388.52,2
2,8,2847.95,2
9,2,532.8199999999999,1
3,2,318.19,1
10,3,463.66,1
65,1,91.85,1
192,1,324.92,0
257,1,400.53999999999996,0
53,2,860.41,1
19,1,430.48,1
184,2,442.58,0
37,3,483.65000000000003,1
168,2,494.26,0
261,3,514.85,0
45,1,229.64000000000001,1
102,1,125.92,1
148,2,1063.46,0
96,2,572.2,1
281,1,166.04,0
178,2,1566.28,0
3,4,942.34,1
214,1,92.72,0
71,3,978.7800000000001,1
75,5,1759.5,2
60,1,397.12,1
3,8,1481.32,2
6,3,430.15000000000003,1
3,6,1018.71,2
322,3,332.95,0
262,1,215.05,0
