recency,frequency,monetary,customersegment
46,4,1085.71,1
50,5,1954.74,2
11,4,450.84,1
129,1,111.35,1
321,1,153.0,0
39,5,1882.51,2
4,12,2221.01,5
30,2,372.22,1
1,3,1071.73,1
19,2,336.4,1
19,5,859.27,1
64,1,496.44,1
24,1,408.8,1
219,2,610.59,0
61,3,990.2,1
20,7,1270.62,2
262,1,327.25,0
65,5,384.48,1
21,1,166.08,1
9,1,353.27,1
39,9,1338.96,2
23,4,1154.05,1
25,8,3408.48,2
171,1,190.53,0
52,2,1537.95,1
19,2,240.22,1
53,10,2104.14,2
30,8,3114.49,2
291,1,560.47,0
262,1,292.47,0
57,11,3417.68,2
3,4,749.3,1
18,2,616.26,1
128,3,982.42,1
15,4,519.6899999999999,1
4,9,1568.98,2
284,1,133.25,0
27,6,2043.72,2
150,1,311.92,0
50,2,1212.84,1
28,4,1093.68,1
15,2,316.25,1
85,1,334.53,1
1,4,728.02,1
5,16,2351.48,5
13,3,946.64,1
155,3,631.9,0
45,4,748.5,1
10,9,3043.48,2
3,7,3092.38,2
290,1,622.88,0
29,10,2286.86,2
64,1,330.84,1
54,2,405.04,1
191,2,334.23,0
78,2,1013.04,1
110,4,485.34,1
24,1,160.19,1
9,8,1944.68,2
55,3,383.68,1
60,1,81.44,1
122,2,327.7,1
243,1,185.65,0
4,1,90.04,1
57,1,171.59,1
104,8,1852.67,2
33,3,658.88,1
77,1,363.65,1
9,28,5989.11,6
59,4,1254.0,1
62,1,152.94,1
77,1,505.18,1
7,6,3871.12,4
33,1,152.2,1
9,7,2825.4700000000003,2
25,5,1792.61,2
99,2,288.42,1
65,1,92.46,1
45,1,401.4,1
9,11,5470.85,4
218,12,2247.51,5
45,3,1192.3,1
274,2,386.53,0
2,4,1529.0,2
34,4,781.91,1
39,1,151.29999999999998,1
195,4,1875.5,2
246,1,102.12,0
33,5,1547.36,2
51,3,688.44,1
29,2,402.2,1
11,9,4013.7,4
37,2,800.67,1
188,2,275.28,0
10,15,3938.36,6
22,2,852.15,1
198,2,108.0,0
31,10,2718.03,2
297,1,826.53,0
31,22,14996.36,6
204,2,613.4399999999999,0
27,2,589.7,1
36,9,1724.14,2
60,2,93.66,1
59,2,255.9,1
264,1,300.52,0
1,62,262876.11,6
73,6,1373.6,2
4,9,2665.0,2
22,4,754.12,1
237,3,630.84,0
236,1,175.27,0
199,4,557.3,0
2,8,3905.46,4
5,1,380.13,1
1,8,1897.57,2
173,1,134.1,0
85,3,657.65,1
40,2,251.87,1
71,3,1519.42,1
65,3,1117.13,1
17,11,5946.37,4
239,1,116.01,0
32,2,591.1899999999999,1
26,11,5725.47,4
101,2,1317.62,1
9,17,5113.1,6
330,5,2456.12,0
50,4,854.68,1
33,8,2468.3,2
28,2,584.06,1
33,5,806.6709999999999,1
1,3,746.87,1
1,10,1880.64,2
65,1,312.98,1
1,7,3444.39,2
16,4,775.96,1
52,1,202.68,1
23,20,5564.49,6
8,4,832.88,1
72,5,1921.37,2
17,2,529.41,1
239,2,416.64,0
40,1,427.93,1
26,1,315.65,1
35,5,2062.7000000000003,2
74,1,277.8,1
106,3,749.78,1
45,5,1125.07,2
1,33,5272.99,6
13,8,4767.36,4
72,2,567.36,1
163,5,2346.13,2
13,4,2861.55,2
212,2,439.35,0
16,1,220.62,1
253,1,58.49,0
264,1,267.18,0
84,1,412.0100000000001,1
195,3,1578.67,0
265,1,172.9,0
59,5,2187.33,2
11,2,1071.91,1
28,1,162.22,1
257,2,346.6,0
2,5,1123.86,2
26,10,2248.63,2
19,16,5044.44,6
2,5,1804.96,2
211,1,101.4,0
257,1,609.4,0
19,2,357.20000000000005,1
185,6,1861.81,2
1,53,16648.64,6
41,2,291.48,1
30,6,882.24,2
183,1,506.19,0
106,2,641.13,1
177,1,683.17,0
232,1,139.35,0
12,5,2919.81,2
161,1,405.38,0
22,1,91.8,1
26,8,920.28,2
45,7,1727.57,2
17,4,839.14,1
254,3,1003.06,0
154,6,70.02,1
184,3,475.28,0
1,12,4488.13,6
66,16,3940.61,6
319,1,106.83,0
81,1,2020.52,1
330,1,421.9,0
8,8,2618.23,2
92,2,547.9,1
23,5,836.92,1
2,18,21086.3,6
134,1,707.09,1
134,1,337.44,0
292,1,603.42,0
10,27,10439.44,6
19,2,202.37,1
169,9,1776.21,2
96,5,3723.87,2
121,2,299.95,1
212,2,1522.75,0
94,2,243.36,1
19,10,916.27,2
113,1,288.18,1
18,2,2369.55,2
277,1,117.55,0
95,2,686.63,1
3,3,342.24,1
8,12,2888.75,5
171,1,73.78,0
5,9,3777.55,4
65,1,332.3,1
107,1,17.0,1
20,6,1740.6,2
270,1,140.54,0
7,2,334.48,1
3,6,1018.71,2
91,2,576.4,1
18,2,251.7,1
227,1,201.19,0
200,2,1110.34,0
25,1,161.64,1
28,6,1358.83,2
263,1,15.0,0
22,10,2119.41,2
13,4,1105.59,1
41,6,1114.08,2
1,35,14236.34,6
185,2,628.8,0
29,2,333.48,1
136,1,60.7,0
37,1,364.22,1
257,1,193.0,0
16,4,258.4,1
156,1,361.11,0
171,3,1062.75,0
36,6,2252.56,2
20,1,219.0,1
206,1,157.9,0
28,6,2863.08,2
116,2,420.42,1
8,2,955.24,1
8,7,3781.74,4
9,6,1698.16,2
50,1,311.16,1
139,1,361.22,0
51,1,430.5,1
35,5,1093.9,1
79,1,311.69,1
10,3,796.84,1
10,10,4034.9,4
27,14,1964.3,5
11,27,9185.04,6
2,18,4884.28,6
75,4,1797.24,2
13,4,859.71,1
1,20,4135.4,6
3,27,4638.54,6
172,1,532.94,0
57,2,813.11,1
8,2,1898.52,1
178,1,142.92,0
21,16,2145.78,5
36,3,841.0799999999999,1
3,4,1388.81,1
2,3,609.3,1
16,14,3507.0299999999997,5
54,7,1439.52,2
59,5,1324.14,2
71,5,651.23,1
18,2,971.74,1
60,1,371.54,1
27,4,1075.81,1
20,5,1311.39,2
71,3,978.78,1
72,5,2867.2,2
33,5,998.53,1
22,2,293.1,1
27,1,107.95,1
36,6,3560.08,2
4,8,1571.12,2
7,22,9755.22,6
64,15,2018.69,5
11,10,1427.59,2
190,6,584.5600000000001,0
154,2,322.96,0
23,3,840.21,1
24,1,279.77,1
17,4,842.4300000000001,1
18,6,2076.89,2
72,1,224.14,1
129,1,168.0,1
36,2,609.85,1
10,11,1691.51,2
117,2,1000.16,1
244,1,110.97,0
260,1,409.57,0
19,3,582.6,1
68,2,567.1800000000001,1
123,4,3083.65,2
54,1,289.78,1
152,7,1002.35,2
2,8,2535.21,2
52,3,1531.44,1
173,7,579.4,0
18,10,2231.41,2
39,14,5264.0,6
15,1,93.78,1
170,3,649.06,0
51,3,1006.98,1
10,1,218.75,1
297,1,142.4,0
17,7,2888.05,2
190,1,232.21,0
67,2,1269.1,1
263,1,200.29,0
96,2,596.09,1
10,6,2248.5,2
218,1,93.75,0
3,2,318.19,1
21,4,1910.01,2
11,1,246.3,1
31,3,1005.09,1
257,2,623.4,0
225,1,440.0,0
92,6,765.7,1
235,2,280.55,0
64,2,292.4,1
59,6,3160.0,2
36,5,1308.64,2
113,7,971.46,2
166,1,131.45000000000002,0
9,2,532.8199999999999,1
12,22,5698.39,6
78,2,221.92,1
18,1,216.9,1
67,3,705.12,1
241,2,506.15,0
307,2,417.27,0
25,11,2541.08,2
23,3,1383.36,1
19,5,1894.75,2
326,1,216.07,0
17,75,35563.11,6
197,3,594.8000000000001,0
314,5,537.23,0
36,2,658.64,1
24,14,18998.41,6
22,6,522.25,1
14,1,100.9,1
94,1,353.48,1
23,3,2811.43,2
45,1,522.91,1
277,1,325.1,0
18,5,1880.22,2
2,28,9541.27,6
27,6,3174.2,2
190,1,119.93,0
19,1,97.5,1
3,10,1865.92,2
232,1,184.64,0
3,3,12393.7,4
61,4,528.01,1
46,4,2055.83,2
69,2,477.86,1
303,1,205.48,0
156,2,197.88,0
319,3,331.65,0
9,4,417.39,1
190,8,1089.3,2
113,1,371.56,1
66,1,140.34,1
19,10,2467.99,2
74,1,1033.34,1
35,2,2747.99,2
23,17,4550.63,6
36,1,308.94,1
61,1,189.34,1
41,11,1349.62,2
59,3,639.74,1
39,1,656.25,1
31,7,2588.39,2
134,1,115.8,0
31,3,409.5,1
188,2,52.0,0
8,5,1311.2,2
50,1,463.8,1
81,2,810.5699999999999,1
64,2,1272.48,1
73,1,305.54,1
153,3,542.78,0
163,1,32.65,0
9,3,2259.52,2
7,5,1456.79,2
64,1,172.82,1
82,4,559.59,1
8,2,423.36,1
267,1,914.93,0
17,7,3155.83,2
249,2,277.35,0
11,7,1291.91,2
50,2,363.34,1
313,1,403.3,0
24,1,195.25,1
4,1,89.94,1
221,1,134.8,0
65,2,388.25,1
136,2,752.6,1
47,5,4336.2,4
8,10,2161.47,2
11,4,464.57,1
96,4,663.65,1
10,2,1270.88,1
191,1,346.98,0
57,8,815.86,2
8,11,2584.41,2
239,2,416.86,0
4,2,598.57,1
145,4,1780.45,2
283,1,312.38,0
290,1,94.0,0
34,2,409.1,1
61,1,384.06,1
55,2,931.03,1
161,3,115.82,0
33,2,1511.95,1
8,4,1131.56,1
19,1,165.12,1
1,6,4263.64,4
18,4,1446.09,2
95,1,82.75,1
23,2,503.76,1
22,11,3069.02,2
3,4,2127.05,2
50,6,2965.69,2
45,4,3613.15,2
3,16,5599.22,6
276,1,120.44,0
248,1,374.57,0
43,2,307.51,1
26,4,565.38,1
239,2,511.36,0
74,1,173.9,1
46,1,481.49,1
11,1,245.1,1
66,4,1133.38,1
88,5,1220.09,2
320,1,155.0,0
